ts,level,code,detail
2026-04-08T00:10:03-07:00,INFO,HB,mode=FLAT px=2248.67 bid=2248.82 ask=2248.83 sprd=0.01 reg=CHOP p=0.47 chop=0.53 pb=0.66 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=69.20 cd=0s obi=-0.23 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=3s c5=3s errs=0
2026-04-08T00:10:18-07:00,INFO,HB,mode=FLAT px=2248.82 bid=2248.82 ask=2248.83 sprd=0.01 reg=CHOP p=0.47 chop=0.53 pb=0.66 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.08 rsi=69.20 cd=0s obi=0.58 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=18s c5=18s errs=0
2026-04-08T00:10:29-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2248.33
2026-04-08T00:10:32-07:00,INFO,ORCH_NO_INTENT,reg=CHOP dir=1 p=0.48 pb=0.63 why=DIP:no_discount;TPB:p_trend_low;MOMO:p_trend_low;MOMO:atrp_low blocker_family=regime_unsuitable
2026-04-08T00:10:33-07:00,INFO,HB,mode=FLAT px=2248.33 bid=2248.32 ask=2248.33 sprd=0.01 reg=CHOP p=0.48 chop=0.52 pb=0.63 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.06 rsi=66.08 cd=0s obi=-0.47 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=4s c5=4s errs=0
2026-04-08T00:10:49-07:00,INFO,HB,mode=FLAT px=2248.06 bid=2248.05 ask=2248.06 sprd=0.01 reg=CHOP p=0.48 chop=0.52 pb=0.63 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.06 rsi=66.08 cd=0s obi=0.08 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=19s c5=19s errs=0
2026-04-08T00:11:00-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2248.06
2026-04-08T00:11:04-07:00,INFO,HB,mode=FLAT px=2248.05 bid=2247.67 ask=2247.68 sprd=0.01 reg=CHOP p=0.47 chop=0.53 pb=0.63 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=64.16 cd=0s obi=-0.47 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=4s c5=4s errs=0
2026-04-08T00:11:19-07:00,INFO,HB,mode=FLAT px=2247.22 bid=2247.34 ask=2247.35 sprd=0.01 reg=CHOP p=0.47 chop=0.53 pb=0.63 dir=1 pos=0.00 side=- upnl=- avg=- hold=0s tp1=0.72% tp2=1.26% tp_mode=vol vol=0.00 norm=0.07 rsi=64.16 cd=0s obi=0.52 q_free=101.29 b_free=0.00 open=0 ws_age=0s c1=19s c5=19s errs=0
2026-04-08T00:11:30-07:00,INFO,CANDLES_REFRESH,1m=100 5m=100 close=2247.63
